[告示] Ｃ００２－２ 施設入居時等医学総合管理料（月１回） | （３） | 月２回以上訪問診療等を行っている場合であって、うち１回以上情報通信 機器を用いた診療を行っている場合（（１）及び（２）の場合を除く。） ① 単一建物診療患者が１人の場合 2,054点 ② 単一建物診療患者が２人以上９人以下の場合 1,160点 ③ 単一建物診療患者が10人以上19人以下の場合 805点 ④ 単一建物診療患者が20人以上49人以下の場合 720点 ⑤ ①から④まで以外の場合
[告示] Ｃ００２－２ 施設入居時等医学総合管理料（月１回） | （５） | 月１回訪問診療等を行っている場合であって、２月に１回に限り情報通信 機器を用いた診療を行っている場合 ① 単一建物診療患者が１人の場合 1,020点 ② 単一建物診療患者が２人以上９人以下の場合 573点 ③ 単一建物診療患者が10人以上19人以下の場合 395点 ④ 単一建物診療患者が20人以上49人以下の場合 344点 ⑤ ①から④まで以外の場合 292点 ２ 在宅療養支援診療所又は在宅療養支援病院（１に規定するものを除く。）の場 合
[告示] Ｃ００２－２ 施設入居時等医学総合管理料（月１回） | 注１　（１） | 単一建物診療患者が１人の場合
[告示] Ｃ００２－２ 施設入居時等医学総合管理料（月１回） | 注１　（２） | 単一建物診療患者が２人以上９人以下の場合
[告示] Ｃ００２－２ 施設入居時等医学総合管理料（月１回） | 注１　（３） | 単一建物診療患者が10人以上19人以下の場合
[告示] Ｃ００３ 在宅がん医療総合診療料（１日につき） | （１） | 保険薬局において調剤を受けるために処方箋を交付する場合
[告示] Ｃ００３ 在宅がん医療総合診療料（１日につき） | （２） | 処方箋を交付しない場合
[告示] Ｃ００３ 在宅がん医療総合診療料（１日につき） | （１） | 保険薬局において調剤を受けるために処方箋を交付する場合
[告示] Ｃ００３ 在宅がん医療総合診療料（１日につき） | （２） | 処方箋を交付しない場合 1,852点 ２ 在宅療養支援診療所又は在宅療養支援病院（１に規定するものを除く。）の場 合
[告示] Ｃ００４－２ 救急患者連携搬送料 | （１） | 入院中の患者以外の患者の場合
[告示] Ｃ００４－２ 救急患者連携搬送料 | （２） | 入院初日の患者の場合
[告示] Ｃ００４－２ 救急患者連携搬送料 | （３） | 入院２日目の患者の場合
[告示] Ｃ００４－２ 救急患者連携搬送料 | （１） | 入院中の患者以外の患者の場合
[告示] Ｃ００４－２ 救急患者連携搬送料 | （２） | 入院初日の患者の場合
[告示] Ｃ００４－２ 救急患者連携搬送料 | （３） | 入院２日目の患者の場合
[告示] Ｃ００５ 在宅患者訪問看護・指導料（１日につき） | 注１　（３） | １日に３回以上の場合 1,000点 ８ １及び２については、訪問診療を実施している保険医療機関の保健師、助産 師又は看護師が、在宅で療養を行っている患者であって通院が困難なものに対 して、当該患者の同意を得て、訪問診療を実施している保険医療機関を含め、 歯科訪問診療を実施している保険医療機関又は訪問薬剤管理指導を実施してい る保険薬局と文書等により情報共有を行うとともに、共有された情報を踏まえ て療養上必要な指導を行った場合に、在宅患者連携指導加算として、月１回に 限り300点を所定点数に加算する。 ９ １及び２については、保険医療機関の保健師、助産師又は看護師が、在宅で 療養を行っている患者であって通院が困難なものの状態の急変等に伴い、当該 患者の在宅療養を担う他の保険医療機関の保険医の求めにより、当該他の保険 医療機関の保険医等、歯科訪問診療を実施している保険医療機関の保険医であ る歯科医師等、訪問薬剤管理指導を実施している保険薬局の保険薬剤師、介護 支援専門員又は相談支援専門員と共同で、カンファレンスに参加し、それらの 者と共同で療養上必要な指導を行った場合には、在宅患者緊急時等カンファレ ンス加算として、月２回に限り200点を所定点数に加算する。 10 １及び２については、在宅で死亡した患者又は特別養護老人ホームその他こ れに準ずる施設（以下この注において「特別養護老人ホーム等」という。）で 死亡した患者に対して、保険医療機関の保険医の指示により、その死亡日及び 死亡日前14日以内に、２回以上訪問看護・指導を実施し、かつ、訪問看護にお けるターミナルケアに係る支援体制について患者及び家族等に対して説明した 上でターミナルケアを行った場合は、在宅ターミナルケア加算として、次に掲 げる区分に従い、いずれかを所定点数に加算する。
[告示] Ｃ００５ 在宅患者訪問看護・指導料（１日につき） | 注１　（１） | 別に厚生労働大臣が定める地域に所在する保険医療機関の看護師等が訪
[告示] Ｃ００５ 在宅患者訪問看護・指導料（１日につき） | 注１　（２） | 別に厚生労働大臣が定める地域外に所在する保険医療機関の看護師等が
[告示] Ｃ００５ 在宅患者訪問看護・指導料（１日につき） | 注１　（１） | 最も合理的な経路及び方法による当該保険医療機関の所在地から患家まで
[告示] Ｃ００５ 在宅患者訪問看護・指導料（１日につき） | 注１　（２） | 最も合理的な経路及び方法による当該保険医療機関の所在地から患家まで
[告示] Ｃ００５－１－２ 同一建物居住者訪問看護・指導料（１日につき） | （２） | 週４日目以降
